Losses,FuelType,Aspiration,NumDoors,BodyStyle,DriveWheels,Length,Width,Height,Weight,EngineSize,Horsepower,PeakRPM,Citympg,Price
?,gas,std,four,sedan,rwd,208.1,71.7,56.7,3900,308,184,4500,14,40960
?,gas,std,two,hardtop,rwd,199.2,72,55.4,3715,304,184,4500,14,45400
?,gas,turbo,two,hatchback,rwd,178.4,68,54.8,2910,140,175,5000,19,16503
161,gas,std,two,hatchback,fwd,157.3,64.4,50.8,1918,92,68,5500,37,5389
161,gas,std,two,hatchback,fwd,157.3,64.4,50.8,1944,92,68,5500,31,6189
161,gas,std,two,hatchback,fwd,157.3,64.4,50.8,2004,92,68,5500,31,6669
161,gas,turbo,two,hatchback,fwd,157.3,63.8,50.8,2145,98,102,5500,24,7689
153,gas,turbo,two,hatchback,fwd,173,65.4,49.4,2370,110,116,5500,23,9959
153,gas,std,two,hatchback,fwd,173,65.4,49.4,2328,122,88,5000,25,8499
?,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2833,156,145,5000,19,12629
?,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2921,156,145,5000,19,14869
?,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2926,156,145,5000,19,14489
125,gas,std,four,sedan,fwd,172.4,65.4,51.6,2365,122,88,5000,25,6989
125,gas,std,four,sedan,fwd,172.4,65.4,51.6,2405,122,88,5000,25,8189
125,gas,turbo,four,sedan,fwd,172.4,65.4,51.6,2403,110,116,5500,23,9279
137,gas,std,four,sedan,fwd,172.4,65.4,51.6,2403,110,116,5500,23,9279
128,gas,std,two,sedan,fwd,165.3,63.8,54.5,1889,97,69,5200,31,5499
128,diesel,std,two,sedan,fwd,165.3,63.8,54.5,2017,103,55,4800,45,7099
128,gas,std,two,sedan,fwd,165.3,63.8,54.5,1918,97,69,5200,31,6649
122,gas,std,four,sedan,fwd,165.3,63.8,54.5,1938,97,69,5200,31,6849
103,gas,std,four,wagon,fwd,170.2,63.8,53.5,2024,97,69,5200,31,7349
128,gas,std,two,sedan,fwd,165.3,63.8,54.5,1951,97,69,5200,31,7299
128,gas,std,two,hatchback,fwd,165.6,63.8,53.3,2028,97,69,5200,31,7799
122,gas,std,four,sedan,fwd,165.3,63.8,54.5,1971,97,69,5200,31,7499
103,gas,std,four,wagon,fwd,170.2,63.8,53.5,2037,97,69,5200,31,7999
168,gas,std,two,hardtop,fwd,162.4,63.8,53.3,2008,97,69,5200,31,8249
106,gas,std,four,hatchback,fwd,173.4,65.2,54.7,2324,120,97,5200,27,8949
106,gas,std,four,sedan,fwd,173.4,65.2,54.7,2302,120,97,5200,27,9549
128,gas,std,four,sedan,fwd,181.7,66.5,55.1,3095,181,152,5200,17,13499
108,gas,std,four,wagon,fwd,184.6,66.5,56.1,3296,181,152,5200,17,14399
108,gas,std,four,sedan,fwd,184.6,66.5,55.1,3060,181,152,5200,19,13499
194,gas,std,two,hatchback,rwd,170.7,67.9,49.7,3071,181,160,5200,19,17199
194,gas,turbo,two,hatchback,rwd,170.7,67.9,49.7,3139,181,200,5200,17,19699
231,gas,std,two,hatchback,rwd,178.5,67.9,49.7,3139,181,160,5200,19,18399
161,gas,std,four,sedan,rwd,186.7,68.4,56.7,3020,120,97,5000,19,11900
161,diesel,turbo,four,sedan,rwd,186.7,68.4,56.7,3197,152,95,4150,28,13200
?,gas,std,four,wagon,rwd,198.9,68.4,58.7,3230,120,97,5000,19,12440
?,diesel,turbo,four,wagon,rwd,198.9,68.4,58.7,3430,152,95,4150,25,13860
161,gas,std,four,sedan,rwd,186.7,68.4,56.7,3075,120,95,5000,19,15580
161,diesel,turbo,four,sedan,rwd,186.7,68.4,56.7,3252,152,95,4150,28,16900
?,gas,std,four,wagon,rwd,198.9,68.4,56.7,3285,120,95,5000,19,16695
?,diesel,turbo,four,wagon,rwd,198.9,68.4,58.7,3485,152,95,4150,25,17075
161,gas,std,four,sedan,rwd,186.7,68.4,56.7,3075,120,97,5000,19,16630
161,diesel,turbo,four,sedan,rwd,186.7,68.4,56.7,3252,152,95,4150,28,17950
161,gas,turbo,four,sedan,rwd,186.7,68.3,56,3130,134,142,5600,18,18150
119,gas,std,two,hatchback,fwd,157.3,63.8,50.8,1918,90,68,5500,37,5572
119,gas,turbo,two,hatchback,fwd,157.3,63.8,50.8,2128,98,102,5500,24,7957
154,gas,std,four,hatchback,fwd,157.3,63.8,50.6,1967,90,68,5500,31,6229
154,gas,std,four,sedan,fwd,167.3,63.8,50.8,1989,90,68,5500,31,6692
154,gas,std,four,sedan,fwd,167.3,63.8,50.8,2191,98,68,5500,31,7609
74,gas,std,four,wagon,fwd,174.6,64.6,59.8,2535,122,88,5000,24,8921
?,gas,turbo,two,hatchback,rwd,173.2,66.3,50.2,2818,156,145,5000,19,12764
186,gas,std,two,hatchback,rwd,168.9,68.3,50.2,2778,151,143,5500,19,22018
?,gas,std,two,hardtop,rwd,168.9,65,51.6,2756,194,207,5900,17,32528
?,gas,std,two,hardtop,rwd,168.9,65,51.6,2756,194,207,5900,17,34028
?,gas,std,two,convertible,rwd,168.9,65,51.6,2800,194,207,5900,17,37028
?,gas,std,two,hatchback,rwd,175.7,72.3,50.5,3366,203,288,5750,17,?
?,gas,std,four,wagon,fwd,181.5,66.5,55.2,2579,132,?,?,23,9295
?,gas,std,two,hatchback,fwd,176.8,66.6,50.5,2460,132,?,?,23,9895
150,gas,std,two,hatchback,fwd,186.6,66.5,56.1,2658,121,110,5250,21,11850
104,gas,std,four,sedan,fwd,186.6,66.5,56.1,2695,121,110,5250,21,12170
150,gas,std,two,hatchback,fwd,186.6,66.5,56.1,2707,121,110,5250,21,15040
104,gas,std,four,sedan,fwd,186.6,66.5,56.1,2758,121,110,5250,21,15510
150,gas,turbo,two,hatchback,fwd,186.6,66.5,56.1,2808,121,160,5500,19,18150
104,gas,turbo,four,sedan,fwd,186.6,66.5,56.1,2847,121,160,5500,19,18620
83,gas,std,two,hatchback,fwd,156.9,63.4,53.7,2050,97,69,4900,31,5118
83,gas,std,two,hatchback,fwd,157.9,63.6,53.7,2120,108,73,4400,26,7053
83,gas,std,two,hatchback,4wd,157.3,63.8,55.7,2240,108,73,4400,26,7603
102,gas,std,four,sedan,fwd,172,65.4,52.5,2145,108,82,4800,32,7126
102,gas,std,four,sedan,fwd,172,65.4,52.5,2190,108,82,4400,28,7775
102,gas,std,four,sedan,fwd,172,65.4,52.5,2340,108,94,5200,26,9960
102,gas,std,four,sedan,4wd,172,65.4,54.3,2385,108,82,4800,24,9233
102,gas,turbo,four,sedan,4wd,172,65.4,54.3,2510,108,111,4800,24,11259
89,gas,std,four,wagon,fwd,173.5,65.4,53,2290,108,82,4800,28,7463
89,gas,std,four,wagon,fwd,173.5,65.4,53,2455,108,94,5200,25,10198
85,gas,std,four,wagon,4wd,173.6,65.4,54.9,2420,108,82,4800,23,8013
85,gas,turbo,four,wagon,4wd,173.6,65.4,54.9,2650,108,111,4800,23,11694
87,gas,std,two,hatchback,fwd,158.7,63.6,54.5,1985,92,62,4800,35,5348
87,gas,std,two,hatchback,fwd,158.7,63.6,54.5,2040,92,62,4800,31,6338
74,gas,std,four,hatchback,fwd,158.7,63.6,54.5,2015,92,62,4800,31,6488
77,gas,std,four,wagon,fwd,169.7,63.6,59.1,2280,92,62,4800,31,6918
81,gas,std,four,wagon,4wd,169.7,63.6,59.1,2290,92,62,4800,27,7898
91,gas,std,four,wagon,4wd,169.7,63.6,59.1,3110,92,62,4800,27,8778
91,gas,std,four,sedan,fwd,166.3,64.4,53,2081,98,70,4800,30,6938
91,gas,std,four,hatchback,fwd,166.3,64.4,52.8,2109,98,70,4800,30,7198
91,diesel,std,four,sedan,fwd,166.3,64.4,53,2275,110,56,4500,34,7898
91,diesel,std,four,hatchback,fwd,166.3,64.4,52.8,2275,110,56,4500,38,7788
91,gas,std,four,sedan,fwd,166.3,64.4,53,2094,98,70,4800,38,7738
91,gas,std,four,hatchback,fwd,166.3,64.4,52.8,2122,98,70,4800,28,8358
91,gas,std,four,sedan,fwd,166.3,64.4,52.8,2140,98,70,4800,28,9258
168,gas,std,two,sedan,rwd,168.7,64,52.6,2169,98,70,4800,29,8058
168,gas,std,two,hatchback,rwd,168.7,64,52.6,2204,98,70,4800,29,8238
168,gas,std,two,sedan,rwd,168.7,64,52.6,2265,98,112,6600,26,9298
168,gas,std,two,hatchback,rwd,168.7,64,52.6,2300,98,112,6600,26,9538
134,gas,std,two,hardtop,rwd,176.2,65.6,52,2540,146,116,4800,24,8449
134,gas,std,two,hardtop,rwd,176.2,65.6,52,2536,146,116,4800,24,9639
134,gas,std,two,hatchback,rwd,176.2,65.6,52,2551,146,116,4800,24,9989
134,gas,std,two,hardtop,rwd,176.2,65.6,52,2679,146,116,4800,24,11199
134,gas,std,two,hatchback,rwd,176.2,65.6,52,2714,146,116,4800,24,11549
134,gas,std,two,convertible,rwd,176.2,65.6,53,2975,146,116,4800,24,17669
65,gas,std,four,sedan,fwd,175.6,66.5,54.9,2326,122,92,4200,29,8948
65,diesel,turbo,four,sedan,fwd,175.6,66.5,54.9,2480,110,73,4500,30,10698
65,gas,std,four,hatchback,fwd,175.6,66.5,53.9,2414,122,92,4200,27,9988
65,gas,std,four,sedan,fwd,175.6,66.5,54.9,2414,122,92,4200,27,10898
65,gas,std,four,hatchback,fwd,175.6,66.5,53.9,2458,122,92,4200,27,11248
197,gas,std,two,hatchback,rwd,183.5,67.7,52,2976,171,161,5200,20,16558
197,gas,std,two,hatchback,rwd,183.5,67.7,52,3016,171,161,5200,19,15998
90,gas,std,four,sedan,rwd,187.8,66.5,54.1,3131,171,156,5200,20,15690
?,gas,std,four,wagon,rwd,187.8,66.5,54.1,3151,161,156,5200,19,15750
122,diesel,std,two,sedan,fwd,171.7,65.5,55.7,2261,97,52,4800,37,7775
122,gas,std,two,sedan,fwd,171.7,65.5,55.7,2209,109,85,5250,27,7975
94,diesel,std,four,sedan,fwd,171.7,65.5,55.7,2264,97,52,4800,37,7995
94,gas,std,four,sedan,fwd,171.7,65.5,55.7,2212,109,85,5250,27,8195
94,gas,std,four,sedan,fwd,171.7,65.5,55.7,2275,109,85,5250,27,8495
94,diesel,turbo,four,sedan,fwd,171.7,65.5,55.7,2319,97,68,4500,37,9495
94,gas,std,four,sedan,fwd,171.7,65.5,55.7,2300,109,100,5500,26,9995
?,gas,std,two,convertible,fwd,159.3,64.2,55.6,2254,109,90,5500,24,11595
256,gas,std,two,hatchback,fwd,165.7,64,51.4,2221,109,90,5500,24,9980
?,gas,std,four,sedan,fwd,180.2,66.9,55.1,2661,136,110,5500,19,13295
?,diesel,turbo,four,sedan,fwd,180.2,66.9,55.1,2579,97,68,4500,33,13845
?,gas,std,four,wagon,fwd,183.1,66.9,55.1,2563,109,88,5500,25,12290
103,gas,std,four,sedan,rwd,188.8,67.2,56.2,2912,141,114,5400,23,12940
74,gas,std,four,wagon,rwd,188.8,67.2,57.5,3034,141,114,5400,23,13415
103,gas,std,four,sedan,rwd,188.8,67.2,56.2,2935,141,114,5400,24,15985
74,gas,std,four,wagon,rwd,188.8,67.2,57.5,3042,141,114,5400,24,16515
103,gas,turbo,four,sedan,rwd,188.8,67.2,56.2,3045,130,162,5100,17,18420
74,gas,turbo,four,wagon,rwd,188.8,67.2,57.5,3157,130,162,5100,17,18950
95,gas,std,four,sedan,rwd,188.8,68.9,55.5,2952,141,114,5400,23,16845
95,gas,turbo,four,sedan,rwd,188.8,68.8,55.5,3049,141,160,5300,19,19045
95,gas,std,four,sedan,rwd,188.8,68.9,55.5,3012,173,134,5500,18,21485
95,diesel,turbo,four,sedan,rwd,188.8,68.9,55.5,3217,145,106,4800,26,22470
95,gas,turbo,four,sedan,rwd,188.8,68.9,55.5,3062,141,114,5400,19,22625
